"no_","column_name","data_type","domain","pk","nullable","column_description","note","ors_map","gb_table_description","table_description","table_name","schema_name","backenddb"
NaN,GL_PARENT_BRANCH_SBV_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,GL-Mã SBV branch cha,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,T24_PARENT_BRANCH_MB_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Mã chi nhánh cha,NaN,PARENT_BRANCH_CODE_T24,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_NAME,VARCHAR2(250 Char),NaN,NaN,NaN,Tên Branch,NaN,BRANCH_NAME,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,MNEMONIC,VARCHAR2(250 Char),NaN,NaN,NaN,Tên viết tắt,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_SWIFT_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Mã SWIFT,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_CITAD_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Mã CITAD,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_CIC_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Mã CIC,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_TAX_NBR,VARCHAR2(250 Char),NaN,NaN,NaN,Mã số thuế,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_PHONE_NBR,VARCHAR2(250 Char),NaN,NaN,NaN,Số điện thoại,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_TYPE,VARCHAR2(50 Char),NaN,NaN,NaN,Hội sở/Chi nhánh/Phòng giao dịch,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_STREET,VARCHAR2(250 Char),NaN,NaN,NaN,"Địa chỉ chi tiết (Số nhà, tổ, xóm…)",NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_WARD,VARCHAR2(250 Char),NaN,NaN,NaN,Phường xã. Tham chiếu LOCATION REFERENCE,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_DISTRICT,VARCHAR2(250 Char),NaN,NaN,NaN,Quận huyện. Tham chiếu LOCATION REFERENCE,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_PROVINCE,VARCHAR2(250 Char),NaN,NaN,NaN,"Tỉnh, thành phố. Tham chiếu LOCATION REFERENCE",NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_COUNTRY,VARCHAR2(250 Char),NaN,NaN,NaN,Tham chiếu COUNTRY REFERENCE,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_AREA_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,"Khu vực, dùng domain “AREA”",NaN,KHU_VUC_M,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_REGION_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,"Vùng miền, dùng domain “REGION”",NaN,VUNG_MIEN_M,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_SUB_REGION_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,"Tiểu vùng, dùng domain “SUB_REGION”",NaN,AREA_CODE,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_FROM_DATE,DATE,NaN,NaN,NaN,Ngày thành lập,NaN,START_DATE,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,BRANCH_TO_DATE,DATE,NaN,NaN,NaN,Ngày dừng hoạt động,NaN,END_DATE,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,LAST_UPDATED_BY,DATE,NaN,NaN,NaN,Ngày cập nhật bản ghi,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
NaN,LAST_UPDATE_DATE,VARCHAR2(250 Char),NaN,NaN,NaN,Người cập nhật bản ghi,NaN,NaN,Store Branch information,"Bảng chứa dữ liệu thông tin chi nhánh của MB, tại ngày cuối tháng",SMY_BRANCH_MTH,NaN,POSTGRESQL
